Anjou;1
António, Prior of Crato;1
 Covenanters;1
 Dutch Rebels;1
 Government army;1
26th (Cameronian) Regiment of Foot;1
 House of Blois (France);1
 House of Montfort (England);1
 Parliamentarian Scots Covenanters;1
 Rebel forces;1
 Royal army;1
 Royalist Army;1
 Royalists;1
 States-General;1

and Angevin lands;1

and others;1

Clann Ó hEithir;1

Cossacks, Tatars and other minorities;1

German mercenaries;1

German, Scottish and Dutch mercenaries;1

Italian allies;1

Nhandui Tarairiu Tribe;1

Tokhtamysh forces;1
"Clan Kay" (Camerons or Davidsons?);1
Cossack Hetmanate;1
Cossacks;1
Council of Five Elders;1
Counts and dukes of Maine;1
County of Namur;1
Crimean Tatars;1
Crusades;1
Dalmatia;1
Darug warriors;1
Dhimitër Jonima;1
District of Branković;1
Dithmarschen;1
Domhnall Dubh;1
Duchy of Athens;1
Duchy of Brabant;1
combined forces of Shinano daimyō;1
Compagnia di San Giorgio;1
Colony of Rhode Island and Providence Plantations;1
Conquistador;1
Confederate States of America;1
Clan Murray;1
Clan Pollock;1
Clan Ross;1
Clan Stewart;1
Clan Maxwell;1
Clan MacLeod;1
Clan Grierson;1
Clan Hay;1
Clan Johnstone;1
Clan Fraser;1
Clan Fraser of Lovat;1
Clan MacDonald of Keppoch;1
Clan MacDonald of Lochalsh;1
Clan Macdonald of Sleat;1
Clan MacGillivray;1
Clan Campbell;1
Clan Cumming;1
Catholic Monarchs;1
Catholic League (French);1
Chōsokabe Motochika;1
Clan Brodie;1
Charles I of Hungary;1
Charles I, Duke of Brittany;1
Charles II, Duke of Guelders;1
Hari_Chand_of_Hindur;1
Hawaii (island);1
Hemu;1
Gujarat Sultanate;1
Hanau;1
Franconia;1
French Directory;1
Gopal_of_Guler;1
Gotland;1
Governorate of New Castile;1
Governorate of New Toledo;1
Grand Alliance;1
Grand Alliance (League of Augsburg);1
Greater Khorasan;1
Greeks;1
Green Mountain Boys;1
Gdańsk;1
Geoghegan;1
Georgia (country);1
Ghent;1
Giudicato of Arborea;1
French Royal Army;1
Friesland;1
Frisia;1
Gaelic Ireland;1
Ganja Khanate;1
Fateh Shah;1
Ferdinand I of the Two Sicilies;1
Flemish peasants;1
Florence;1
Forces loyal to Mary, Queen of Scots;1
Forces loyal to Tozawa Yorichika;1
Forces of Oi Sadataka;1
forces of Takatō Yoritsugu;1
forces of Tozawa family;1
Forces of Tozawa Yorichika;1
Forces opposed to Mary, Queen of Scots;1
Eastern Mongols;1
Edward Balliol;1
Duchy of Parma;1
Erivan Khanate;1
Engagers;1
English and Flemish settlers;1
English Parliamentarains;1
Duchy of Guastalla;1
Duchy of Jülich;1
Duchy of Castro;1
Duchy of Cleves;1
Dzungar Khanate;1
Earl of Douglas;1
Earl of Sutherland;1
Duchy of Urbino;1
Duke of Aquitaine;1
Duke of Coimbra;1
Durrani;1
Durrani Empire;1
Dutch Cape Colony;1
Indian auxiliaries;1
It%C5%8D_family;1
Italian War of 1494–98;1
Italic League;1
Itami clan;1
Iwamura castle garrison;1
James II of England;1
James IV of Scotland;1
James Scott, 1st Duke of Monmouth;1
James Stewart, 1st Earl of Moray;1
Hotak dynasty;1
House of Bourbon;1
House of Farnese;1
House of Stuart;1
Hiraga Genshin;1
History of Bavaria;1
History of Cologne;1
Holy League (1538);1
Holy League (1684);1
Hōjō Sōun;1
Kingdom of Navarre;1
Japanese imperial forces;1
Jaqueline, Countess of Hainaut, Holland and Zeeland;1
John VI Kantakouzenos;1
Johor;1
Johor Sultanate;1
Kingdom of Uí Failghe;1
Kirpal_of_Katoch;1
Irish Confederate Catholics Munster army and some Highland Scots;1
Kahlur;1
Kalmar Union;1
Kantō kubō;1
Kara Koyunlu;1
Kentucky militia;1
Kesari_Chand;1
Khanate of Kazan;1
Kingdom of Cochin;1
Kingdom of Croatia (Habsburg);1
Kingdom of Georgia;1
Kingdom of Imereti;1
Kingdom of Kandy;1
Kingdom of Kartli;1
Kingdom of Kartli-Kakheti;1
Mary, Queen of Scots;1
Massachusetts Bay;1
Massachusetts Bay Colony;1
Matsudaira clan;1
Maui;1
Maximilian III, Archduke of Austria;1
Mdewakanton;1
Miamis Indian Tribe;1
Mi'kmaq;1
Maltese people;1
Mamluk;1
Lübeck;1
MacNamara;1
Magdeburg;1
Lodi dynasty;1
Lodrisio Visconti;1
Lord of the Isles;1
Lordship of Chios;1
Lorraine (duchy);1
Lorraine (region);1
Lower Saxon Circle;1
Koxinga;1
Kuruc;1
Lancastrians;1
Leinster;1
List of kings of Connacht;1
List of kings of Leinster;1
Narragansett people;1
Native Americans in the United States;1
Navajo people;1
Mingo;1
Mississippian culture;1
Miura clan;1
Mladen II Šubić of Bribir;1
Modena;1
Mohegan people;1
Military history of the Mi'kmaq people;1
Military_history_of_the_Mi%27kmaq_People;1
Militia;1
Manchu people;1
Maratha Empire;1
March of Montferrat;1
Margraviate of Brandenburg;1
Mari people;1
Nawabs of Bengal and Murshidabad;1
New England;1
New England Confederation;1
Oda Nobukatsu;1
Momchil;1
Moors;1
New South Wales Corps;1
Nipissing First Nation;1
Nitta clan;1
Noble coalition;1
Nogais;1
Norfolk;1
North Carolina;1
North Carolina provincial militia;1
North Carolina Regulators;1
O'Brien dynasty;1
Qasim Khanate;1
Qing dynasty;1
Quito;1
Ranuccio II Farnese, Duke of Parma;1
Rebels;1
Registered Cossacks;1
Puná natives;1
Pure Land Buddhism;1
Rokkaku clan;1
Rokkaku Yoshisuke;1
Rostov;1
Principality of Dukagjini;1
Principality of Murom;1
Principality of Polotsk;1
Principality of Schaumburg-Lippe;1
Principality of Smolensk;1
Principality of Suzdal—Nizhny Novgorod;1
Principality of Tver;1
Principality of Yaroslavl;1
Oneida people;1
Province of New Hampshire;1
Province of North Carolina;1
Province of Padua;1
Protestantism;1
Province of Georgia;1
Province of South Carolina;1
Province of Verona;1
Ogasawara_family;1
Ohio Country;1
Ojibwe;1
Oda Nobutaka;1
O'Dea;1
Odoardo Farnese, Duke of Parma;1
Pavia;1
Peasant Jacques army;1
Peasants' army;1
Pequot people;1
Percy Faction;1
Peshwa;1
Philip, Duke of Burgundy;1
Pir (Sufism);1
Pizarro brothers;1
Principality of Achaea;1
Principality of Beloozero;1
Principality of Bengal;1
Post-Imperial Mongolia;1
Potiguara people;1
Prince-Bishopric of Liège;1
Parliamentarians;1
Polish–Swedish union;1
Pope Innocent X;1
Pope Urban VIII;1
White Company;1
Williamite;1
Williamite forces - Irish, Dutch, English, Scottish, Danish and French Huguenot troops [1];1
Wyandot people;1
Zamorin of Calicut;1
Zaporizhian Sich;1
Zeta under the Balšići;1
Walloons;1
Welsh rebel forces;1
Shirvanshah;1
Sigismund III Vasa;1
Sikh;1
Silesia;1
Sirotci;1
States General of the Netherlands;1
Stephen Uroš IV Dušan of Serbia;1
Sture;1
Suganuma Sadamichi;1
Swabia;1
Sōhei;1
Sovereign Military Order of Malta;1
Taborite;1
Taborites;1
Taiwanese aborigines;1
Saika Ikki;1
Samarkand;1
Satomi Yoshihiro;1
Saxe-Weimar;1
Schmalkaldic League;1
Royal forces;1
Royalist forces;1
Robert Stewart, Duke of Albany;1
Scottish Rebels (with English support);1
Second Bulgarian Empire;1
Seventeen Provinces;1
Saadi dynasty;1
Toyotomi Hideyori;1
Travancore;1
Tudor dynasty;1
Tupí people;1
Udasi;1
Uesugi Kenshin;1
United Duchies of Jülich-Cleves-Berg;1
Taw yağı;1
Uprising of Konstantin and Fruzhin;1
Utraquism;1
Utraquists;1
Vermont Republic;1
Virginia;1
Vlachs;1
Wabanaki Confederacy;1
